;Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
;Foot Locker;1185732;1/1/20;Northeast;New York;New York;Men's Street Footwear;R$50,00 ;1.200;R$600.000 ;R$300.000 ;50%;In-store
;Foot Locker;1185732;1/2/20;Northeast;New York;New York;Men's Athletic Footwear;R$50,00 ;1.000;R$500.000 ;R$150.000 ;30%;In-store
;Foot Locker;1185732;1/3/20;Northeast;New York;New York;Women's Street Footwear;R$40,00 ;1.000;R$400.000 ;R$140.000 ;35%;In-store
;Foot Locker;1185732;1/4/20;Northeast;New York;New York;Women's Athletic Footwear;R$45,00 ;850;R$382.500 ;R$133.875 ;35%;In-store
;Foot Locker;1185732;1/5/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;900;R$540.000 ;R$162.000 ;30%;In-store
;Foot Locker;1185732;1/6/20;Northeast;New York;New York;Women's Apparel;R$50,00 ;1.000;R$500.000 ;R$125.000 ;25%;In-store
;Foot Locker;1185732;1/7/20;Northeast;New York;New York;Men's Street Footwear;R$50,00 ;1.250;R$625.000 ;R$312.500 ;50%;In-store
;Foot Locker;1185732;1/8/20;Northeast;New York;New York;Men's Athletic Footwear;R$50,00 ;900;R$450.000 ;R$135.000 ;30%;Outlet
;Foot Locker;1185732;1/21/20;Northeast;New York;New York;Women's Street Footwear;R$40,00 ;950;R$380.000 ;R$133.000 ;35%;Outlet
;Foot Locker;1185732;1/22/20;Northeast;New York;New York;Women's Athletic Footwear;R$45,00 ;825;R$371.250 ;R$129.938 ;35%;Outlet
;Foot Locker;1185732;1/23/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;900;R$540.000 ;R$162.000 ;30%;Outlet
;Foot Locker;1185732;1/24/20;Northeast;New York;New York;Women's Apparel;R$50,00 ;1.000;R$500.000 ;R$125.000 ;25%;Outlet
;Foot Locker;1185732;1/25/20;Northeast;New York;New York;Men's Street Footwear;R$50,00 ;1.220;R$610.000 ;R$305.000 ;50%;Outlet
;Foot Locker;1185732;1/26/20;Northeast;New York;New York;Men's Athletic Footwear;R$50,00 ;925;R$462.500 ;R$138.750 ;30%;Outlet
;Foot Locker;1185732;1/27/20;Northeast;New York;New York;Women's Street Footwear;R$40,00 ;950;R$380.000 ;R$133.000 ;35%;Outlet
;Foot Locker;1185732;1/28/20;Northeast;New York;New York;Women's Athletic Footwear;R$45,00 ;800;R$360.000 ;R$126.000 ;35%;Outlet
;Foot Locker;1185732;1/29/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;850;R$510.000 ;R$153.000 ;30%;Outlet
;Foot Locker;1185732;1/30/20;Northeast;New York;New York;Women's Apparel;R$50,00 ;950;R$475.000 ;R$118.750 ;25%;Outlet
;Foot Locker;1185732;1/31/20;Northeast;New York;New York;Men's Street Footwear;R$50,00 ;1.200;R$600.000 ;R$300.000 ;50%;Outlet
;Foot Locker;1185732;2/1/20;Northeast;New York;New York;Men's Athletic Footwear;R$50,00 ;900;R$450.000 ;R$135.000 ;30%;Outlet
;Foot Locker;1185732;2/2/20;Northeast;New York;New York;Women's Street Footwear;R$40,00 ;900;R$360.000 ;R$126.000 ;35%;Outlet
;Foot Locker;1185732;2/3/20;Northeast;New York;New York;Women's Athletic Footwear;R$45,00 ;825;R$371.250 ;R$129.938 ;35%;Outlet
;Foot Locker;1185732;2/4/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;825;R$495.000 ;R$148.500 ;30%;Outlet
;Foot Locker;1185732;2/5/20;Northeast;New York;New York;Women's Apparel;R$50,00 ;950;R$475.000 ;R$118.750 ;25%;Outlet
;Foot Locker;1185732;2/6/20;Northeast;New York;New York;Men's Street Footwear;R$60,00 ;1.220;R$732.000 ;R$366.000 ;50%;Outlet
;Foot Locker;1185732;2/7/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;925;R$508.750 ;R$152.625 ;30%;Outlet
;Foot Locker;1185732;2/8/20;Northeast;New York;New York;Women's Street Footwear;R$50,00 ;900;R$450.000 ;R$157.500 ;35%;Outlet
;Foot Locker;1185732;2/9/20;Northeast;New York;New York;Women's Athletic Footwear;R$50,00 ;850;R$425.000 ;R$148.750 ;35%;Outlet
;Foot Locker;1185732;2/10/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;875;R$525.000 ;R$157.500 ;30%;Outlet
;Foot Locker;1185732;3/3/20;Northeast;New York;New York;Women's Apparel;R$65,00 ;1.000;R$650.000 ;R$162.500 ;25%;Outlet
;Foot Locker;1185732;3/4/20;Northeast;New York;New York;Men's Street Footwear;R$60,00 ;1.250;R$750.000 ;R$375.000 ;50%;Outlet
;Foot Locker;1185732;3/5/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;1.000;R$550.000 ;R$165.000 ;30%;Outlet
;Foot Locker;1185732;3/6/20;Northeast;New York;New York;Women's Street Footwear;R$50,00 ;925;R$462.500 ;R$161.875 ;35%;Outlet
;Foot Locker;1185732;3/7/20;Northeast;New York;New York;Women's Athletic Footwear;R$50,00 ;900;R$450.000 ;R$157.500 ;35%;Outlet
;Foot Locker;1185732;3/8/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;900;R$540.000 ;R$162.000 ;30%;Outlet
;Foot Locker;1185732;3/9/20;Northeast;New York;New York;Women's Apparel;R$65,00 ;1.050;R$682.500 ;R$170.625 ;25%;Outlet
;Foot Locker;1185732;3/10/20;Northeast;New York;New York;Men's Street Footwear;R$60,00 ;1.275;R$765.000 ;R$382.500 ;50%;Outlet
;Foot Locker;1185732;3/11/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;1.025;R$563.750 ;R$169.125 ;30%;Outlet
;Foot Locker;1185732;3/12/20;Northeast;New York;New York;Women's Street Footwear;R$50,00 ;950;R$475.000 ;R$166.250 ;35%;Outlet
;Foot Locker;1185732;3/13/20;Northeast;New York;New York;Women's Athletic Footwear;R$50,00 ;900;R$450.000 ;R$157.500 ;35%;Outlet
;Foot Locker;1185732;3/14/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;925;R$555.000 ;R$166.500 ;30%;Outlet
;Foot Locker;1185732;3/15/20;Northeast;New York;New York;Women's Apparel;R$65,00 ;1.100;R$715.000 ;R$178.750 ;25%;Outlet
;Foot Locker;1185732;3/16/20;Northeast;New York;New York;Men's Street Footwear;R$60,00 ;1.250;R$750.000 ;R$375.000 ;50%;Outlet
;Foot Locker;1185732;3/17/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;1.025;R$563.750 ;R$169.125 ;30%;Outlet
;Foot Locker;1185732;3/18/20;Northeast;New York;New York;Women's Street Footwear;R$50,00 ;950;R$475.000 ;R$166.250 ;35%;Outlet
;Foot Locker;1185732;3/31/20;Northeast;New York;New York;Women's Athletic Footwear;R$50,00 ;925;R$462.500 ;R$161.875 ;35%;Outlet
;Walmart;1185732;4/17/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;900;R$540.000 ;R$162.000 ;30%;Outlet
;Walmart;1185732;4/18/20;Northeast;New York;New York;Women's Apparel;R$65,00 ;1.075;R$698.750 ;R$174.688 ;25%;Outlet
;Walmart;1185732;4/19/20;Northeast;New York;New York;Men's Street Footwear;R$60,00 ;1.200;R$720.000 ;R$360.000 ;50%;Outlet
;Walmart;1185732;4/20/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;1.000;R$550.000 ;R$165.000 ;30%;Outlet
;Walmart;1185732;4/21/20;Northeast;New York;New York;Women's Street Footwear;R$50,00 ;925;R$462.500 ;R$161.875 ;35%;Outlet
;Walmart;1185732;4/22/20;Northeast;New York;New York;Women's Athletic Footwear;R$50,00 ;900;R$450.000 ;R$157.500 ;35%;Outlet
;Walmart;1185732;4/23/20;Northeast;New York;New York;Men's Apparel;R$60,00 ;900;R$540.000 ;R$162.000 ;30%;Outlet
;Walmart;1185732;4/24/20;Northeast;New York;New York;Women's Apparel;R$65,00 ;1.000;R$650.000 ;R$162.500 ;25%;Outlet
;Walmart;1185732;4/25/20;Northeast;New York;New York;Men's Apparel;R$65,00 ;875;R$568.750 ;R$170.625 ;30%;Outlet
;Walmart;1185732;4/26/20;Northeast;New York;New York;Women's Apparel;R$70,00 ;1.000;R$700.000 ;R$175.000 ;25%;Outlet
;Walmart;1185732;4/27/20;Northeast;New York;New York;Men's Street Footwear;R$65,00 ;1.150;R$747.500 ;R$373.750 ;50%;Outlet
;Walmart;1185732;4/28/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;975;R$536.250 ;R$160.875 ;30%;Outlet
;Walmart;1185732;4/29/20;Northeast;New York;New York;Women's Street Footwear;R$55,00 ;920;R$506.000 ;R$177.100 ;35%;Outlet
;Walmart;1185732;4/30/20;Northeast;New York;New York;Women's Athletic Footwear;R$55,00 ;900;R$495.000 ;R$173.250 ;35%;Outlet
;Walmart;1185732;5/1/20;Northeast;New York;New York;Men's Apparel;R$65,00 ;875;R$568.750 ;R$170.625 ;30%;Outlet
;Walmart;1185732;5/2/20;Northeast;New York;New York;Women's Apparel;R$70,00 ;975;R$682.500 ;R$170.625 ;25%;Outlet
;Walmart;1185732;5/3/20;Northeast;New York;New York;Men's Street Footwear;R$65,00 ;1.200;R$780.000 ;R$390.000 ;50%;Outlet
;Walmart;1185732;5/4/20;Northeast;New York;New York;Men's Athletic Footwear;R$55,00 ;1.000;R$550.000 ;R$165.000 ;30%;Outlet
;Walmart;1185732;5/5/20;Northeast;New York;New York;Women's Street Footwear;R$55,00 ;950;R$522.500 ;R$182.875 ;35%;Outlet
;Walmart;1185732;5/6/20;Northeast;New York;New York;Women's Athletic Footwear;R$55,00 ;900;R$495.000 ;R$173.250 ;35%;Outlet
;Walmart;1185732;5/7/20;Northeast;New York;New York;Men's Apparel;R$65,00 ;900;R$585.000 ;R$175.500 ;30%;Outlet
;Walmart;1185732;7/18/20;Northeast;New York;New York;Women's Apparel;R$70,00 ;1.000;R$700.000 ;R$175.000 ;25%;Outlet
;Sports Direct;1197831;7/19/20;Northeast;New York;New York;Men's Street Footwear;R$25,00 ;900;R$225.000 ;R$78.750 ;35%;Outlet
;Sports Direct;1197831;7/20/20;Northeast;New York;New York;Men's Athletic Footwear;R$35,00 ;900;R$315.000 ;R$110.250 ;35%;Outlet
;Sports Direct;1197831;7/21/20;Northeast;New York;New York;Women's Street Footwear;R$35,00 ;700;R$245.000 ;R$85.750 ;35%;Outlet
;Sports Direct;1197831;7/22/20;Northeast;New York;New York;Women's Athletic Footwear;R$35,00 ;700;R$245.000 ;R$110.250 ;45%;Outlet
;Sports Direct;1197831;7/23/20;South;Texas;Houston;Men's Apparel;R$40,00 ;550;R$220.000 ;R$66.000 ;30%;Outlet
;Sports Direct;1197831;7/24/20;South;Texas;Houston;Women's Apparel;R$35,00 ;700;R$245.000 ;R$122.500 ;50%;Outlet
;Sports Direct;1197831;7/25/20;South;Texas;Houston;Men's Street Footwear;R$25,00 ;850;R$212.500 ;R$74.375 ;35%;Outlet
;Sports Direct;1197831;7/26/20;South;Texas;Houston;Men's Athletic Footwear;R$35,00 ;850;R$297.500 ;R$104.125 ;35%;Outlet
;Sports Direct;1197831;7/27/20;South;Texas;Houston;Women's Street Footwear;R$35,00 ;675;R$236.250 ;R$82.688 ;35%;Outlet
;Sports Direct;1197831;7/28/20;South;Texas;Houston;Women's Athletic Footwear;R$35,00 ;625;R$218.750 ;R$98.438 ;45%;Outlet
;Sports Direct;1197831;7/29/20;South;Texas;Houston;Men's Apparel;R$40,00 ;500;R$200.000 ;R$60.000 ;30%;Outlet
;Sports Direct;1197831;7/30/20;South;Texas;Houston;Women's Apparel;R$35,00 ;700;R$245.000 ;R$122.500 ;50%;Outlet
;Sports Direct;1197831;7/31/20;South;Texas;Houston;Men's Street Footwear;R$30,00 ;875;R$262.500 ;R$91.875 ;35%;Outlet
;Sports Direct;1197831;8/1/20;South;Texas;Houston;Men's Athletic Footwear;R$40,00 ;875;R$350.000 ;R$122.500 ;35%;Outlet
;Sports Direct;1197831;8/2/20;South;Texas;Houston;Women's Street Footwear;R$35,00 ;700;R$245.000 ;R$85.750 ;35%;Outlet
;Sports Direct;1197831;8/3/20;South;Texas;Houston;Women's Athletic Footwear;R$40,00 ;600;R$240.000 ;R$108.000 ;45%;Outlet
;Sports Direct;1197831;8/4/20;South;Texas;Houston;Men's Apparel;R$45,00 ;500;R$225.000 ;R$67.500 ;30%;Outlet
;Sports Direct;1197831;8/5/20;South;Texas;Houston;Women's Apparel;R$40,00 ;650;R$260.000 ;R$130.000 ;50%;Outlet
;Sports Direct;1197831;8/6/20;South;Texas;Houston;Men's Street Footwear;R$30,00 ;900;R$270.000 ;R$94.500 ;35%;Outlet
;Sports Direct;1197831;8/7/20;South;Texas;Houston;Men's Athletic Footwear;R$40,00 ;900;R$360.000 ;R$126.000 ;35%;Outlet
;Sports Direct;1197831;8/8/20;South;Texas;Houston;Women's Street Footwear;R$35,00 ;725;R$253.750 ;R$88.813 ;35%;Outlet
;Sports Direct;1197831;8/9/20;South;Texas;Houston;Women's Athletic Footwear;R$40,00 ;625;R$250.000 ;R$112.500 ;45%;Outlet
;Walmart;1197831;8/10/20;South;Texas;Houston;Men's Apparel;R$45,00 ;525;R$236.250 ;R$70.875 ;30%;Outlet
;Walmart;1197831;8/11/20;South;Texas;Houston;Women's Apparel;R$40,00 ;800;R$320.000 ;R$160.000 ;50%;Outlet
