year;week_of_year;units_sold;price_unit
2020;1;1440;52.666666666666664
2020;2;722;44.5
2020;3;282;53.0
2020;4;1763;56.0
2020;5;1695;55.0
2020;6;1807;55.166666666666664
2020;7;2180;56.333333333333336
2020;8;1413;63.833333333333336
2020;9;513;60.333333333333336
2020;10;1997;56.666666666666664
2020;11;2082;58.666666666666664
2020;12;281;43.0
2020;13;258;44.0
2020;14;189;58.0
2020;15;438;63.75
2020;16;1865;58.6
2020;17;5315;58.666666666666664
2020;18;2049;65.0
2020;19;1960;64.4
2020;20;375;64.5
2020;21;1997;68.5
2020;22;323;53.0
2020;23;290;53.5
2020;24;221;69.5
2020;25;256;62.0
2020;26;252;62.5
2020;27;1199;82.25
2020;28;730;73.0
2020;29;536;76.0
2020;30;1299;48.2
2020;31;1325;56.2
2020;32;1388;58.6
2020;33;3712;45.6
2020;34;1897;44.6
2020;35;1113;39.666666666666664
2020;36;1047;40.333333333333336
2020;37;2014;50.4
2020;38;1917;49.6
2020;39;1910;53.0
2020;40;889;58.5
2020;41;945;64.5
2020;43;1229;41.0
2020;44;1221;40.6
2020;45;1067;48.285714285714285
2020;46;900;50.4
2020;47;195;49.5
2020;48;258;49.5
2020;49;192;43.5
2020;50;159;33.5
2020;51;253;48.25
2020;52;1034;57.4
2020;53;835;57.0
2021;1;6138;45.87096774193548
2021;2;6905;45.62162162162162
2021;3;6027;44.55555555555556
2021;4;2278;47.1
2021;5;4431;44.89473684210526
2021;6;6339;45.0
2021;7;6101;43.88235294117647
2021;8;2152;45.25
2021;9;3259;40.095238095238095
2021;10;5809;44.13157894736842
2021;11;4788;44.05555555555556
2021;12;1886;46.94444444444444
2021;13;1471;41.3
2021;14;5774;45.94444444444444
2021;15;4975;46.361111111111114
2021;16;4170;44.06666666666667
2021;17;2821;48.0
2021;18;5799;46.851851851851855
2021;19;6566;48.351351351351354
2021;20;6194;48.26470588235294
2021;21;2428;46.705882352941174
2021;22;2859;47.05555555555556
2021;23;6525;50.470588235294116
2021;24;5497;58.62068965517241
2021;25;4356;57.42857142857143
2021;26;2211;51.84615384615385
2021;27;8063;51.22222222222222
2021;28;7419;55.94117647058823
2021;29;6004;58.035714285714285
2021;30;347;52.75
2021;31;4471;48.208333333333336
2021;32;7076;48.21052631578947
2021;33;6725;48.75
2021;34;4331;49.476190476190474
2021;35;4044;42.72222222222222
2021;36;5924;42.27272727272727
2021;37;6810;42.3
2021;38;4277;49.75
2021;39;2056;42.63636363636363
2021;40;6212;48.588235294117645
2021;41;5935;49.32432432432432
2021;42;4937;47.75
2021;43;861;50.875
2021;44;4254;56.0
2021;45;6098;59.542857142857144
2021;46;6350;63.08108108108108
2021;47;2929;60.588235294117645
2021;48;4007;58.88235294117647
2021;49;6646;58.78787878787879
2021;50;7236;61.78378378378378
2021;51;3699;60.80952380952381
2021;52;439;57.2
2021;53;547;43.75
