year;week_of_year;units_sold;price_unit
2020;1;2282;42.833333333333336
2020;2;2174;43.0
2020;3;644;49.0
2020;4;2067;51.0
2020;5;2970;53.111111111111114
2020;6;2458;52.333333333333336
2020;7;1040;63.333333333333336
2020;8;942;59.0
2020;9;908;58.0
2020;10;2536;55.166666666666664
2020;11;2683;54.333333333333336
2020;12;2921;41.5
2020;13;512;49.0
2020;14;419;62.0
2020;15;480;62.5
2020;16;719;62.0
2020;17;5368;53.54545454545455
2020;18;3192;62.142857142857146
2020;19;2287;52.6
2020;20;725;57.5
2020;21;2011;60.0
2020;22;581;49.0
2020;23;581;48.5
2020;24;978;66.0
2020;25;508;62.5
2020;26;813;77.0
2020;27;857;83.5
2020;28;960;78.5
2020;29;774;73.0
2020;30;4290;44.0
2020;31;2319;54.2
2020;32;2502;38.6
2020;33;2416;39.2
2020;34;2486;41.4
2020;35;1473;39.666666666666664
2020;36;2807;39.5
2020;37;2389;46.8
2020;38;1152;57.5
2020;39;1105;48.0
2020;40;1040;48.5
2020;41;1024;49.5
2020;42;315;34.0
2020;43;1637;37.6
2020;44;1728;40.2
2020;45;2519;43.125
2020;46;1300;49.2
2020;47;224;39.0
2020;48;762;43.75
2020;49;323;38.5
2020;50;258;34.5
2020;51;252;39.0
2020;52;1446;53.0
2020;53;603;44.0
2021;1;8811;37.9375
2021;2;9519;38.32432432432432
2021;3;8802;37.02777777777778
2021;4;4286;47.27272727272727
2021;5;5768;37.578947368421055
2021;6;7972;37.22222222222222
2021;7;7627;36.31428571428572
2021;8;4115;41.22727272727273
2021;9;4786;32.142857142857146
2021;10;7555;35.82857142857143
2021;11;7404;35.72222222222222
2021;12;3233;43.4
2021;13;3503;26.153846153846153
2021;14;8304;34.638888888888886
2021;15;7125;39.861111111111114
2021;16;5352;42.18518518518518
2021;17;5019;47.07142857142857
2021;18;7260;40.851851851851855
2021;19;9760;42.925
2021;20;6194;43.645161290322584
2021;21;3987;47.64705882352941
2021;22;3987;39.11764705882353
2021;23;8715;43.638888888888886
2021;24;7275;46.310344827586206
2021;25;6975;45.166666666666664
2021;26;2711;46.90909090909091
2021;27;10547;47.388888888888886
2021;28;9281;53.84375
2021;29;7825;52.666666666666664
2021;30;628;43.0
2021;31;7956;43.76923076923077
2021;32;10723;46.74285714285714
2021;33;11104;48.333333333333336
2021;34;6653;51.333333333333336
2021;35;7257;39.523809523809526
2021;36;9041;41.78787878787879
2021;37;11512;43.06976744186046
2021;38;5626;45.42857142857143
2021;39;3310;37.54545454545455
2021;40;8538;43.03225806451613
2021;41;10680;40.80487804878049
2021;42;7261;39.611111111111114
2021;43;1500;42.0
2021;44;5302;41.166666666666664
2021;45;7898;41.97142857142857
2021;46;7609;38.94285714285714
2021;47;5093;48.35
2021;48;5247;51.588235294117645
2021;49;8993;50.09090909090909
2021;50;9379;54.294117647058826
2021;51;6481;56.34782608695652
2021;52;749;51.6
2021;53;1528;47.8
