year;week_of_year;units_sold;price_unit
2020;1;2650;37.5
2020;2;2807;37.5
2020;3;892;39.666666666666664
2020;4;3698;50.666666666666664
2020;5;3006;48.5
2020;6;3104;54.0
2020;7;1148;57.0
2020;8;960;52.333333333333336
2020;9;859;54.333333333333336
2020;10;2889;54.333333333333336
2020;11;3812;45.111111111111114
2020;12;2606;43.2
2020;13;715;38.5
2020;14;656;57.5
2020;15;656;57.5
2020;16;2882;53.8
2020;17;5914;57.1
2020;18;4546;58.75
2020;19;662;53.0
2020;20;725;53.5
2020;21;2301;63.0
2020;22;567;38.0
2020;23;1430;43.0
2020;24;710;69.0
2020;25;715;57.5
2020;26;945;73.0
2020;27;1064;76.5
2020;28;992;82.5
2020;29;2859;45.857142857142854
2020;30;2080;36.4
2020;31;2373;47.4
2020;32;2763;33.8
2020;33;2927;34.2
2020;34;2821;38.6
2020;35;2981;35.0
2020;36;1369;40.666666666666664
2020;37;2761;49.0
2020;38;1429;62.5
2020;39;1334;54.0
2020;40;1270;58.0
2020;41;1219;58.0
2020;42;581;34.0
2020;43;2039;37.8
2020;44;3330;38.0
2020;45;1857;36.2
2020;46;1913;46.6
2020;47;1241;47.0
2020;48;662;48.5
2020;49;563;44.0
2020;50;473;43.0
2020;51;441;48.0
2020;52;1973;52.2
2020;53;2016;45.4
2021;1;10893;33.833333333333336
2021;2;12846;35.91891891891892
2021;3;13053;35.38461538461539
2021;4;3004;39.125
2021;5;8327;34.89473684210526
2021;6;14560;35.526315789473685
2021;7;11705;32.63636363636363
2021;8;6631;35.90909090909091
2021;9;7733;30.285714285714285
2021;10;12784;33.31428571428572
2021;11;12495;32.666666666666664
2021;12;5340;31.555555555555557
2021;13;3676;24.0
2021;14;13401;33.083333333333336
2021;15;11961;37.888888888888886
2021;16;10139;39.6
2021;17;4584;45.90909090909091
2021;18;11513;42.53333333333333
2021;19;13533;47.45945945945946
2021;20;10381;45.774193548387096
2021;21;5399;44.76470588235294
2021;22;6715;41.31578947368421
2021;23;13356;46.26470588235294
2021;24;11595;47.806451612903224
2021;25;10120;46.07142857142857
2021;26;4357;50.27272727272727
2021;27;15292;50.75
2021;28;13860;55.705882352941174
2021;29;10672;55.214285714285715
2021;30;1957;42.166666666666664
2021;31;9590;47.541666666666664
2021;32;14136;48.42857142857143
2021;33;14363;52.138888888888886
2021;34;7949;44.714285714285715
2021;35;7337;41.55555555555556
2021;36;13260;43.27777777777778
2021;37;13476;45.1
2021;38;6326;43.80952380952381
2021;39;3602;38.36363636363637
2021;40;11648;46.85294117647059
2021;41;11686;44.23684210526316
2021;42;10239;41.73684210526316
2021;43;2218;41.125
2021;44;7422;48.166666666666664
2021;45;10634;48.34285714285714
2021;46;11168;46.28947368421053
2021;47;4880;47.0
2021;48;6952;58.64705882352941
2021;49;12328;57.36363636363637
2021;50;12618;61.0
2021;51;7847;56.869565217391305
2021;52;1314;59.6
2021;53;1259;31.75
