year;week_of_year;units_sold;price_unit
2020;1;441;65.33333333333333
2020;2;2359;42.666666666666664
2020;3;1249;44.166666666666664
2020;4;2208;57.666666666666664
2020;5;2232;57.166666666666664
2020;6;2487;58.0
2020;7;815;73.0
2020;8;636;71.0
2020;9;703;67.66666666666667
2020;10;2969;62.0
2020;11;4260;61.44444444444444
2020;12;603;38.5
2020;13;516;38.5
2020;14;445;53.5
2020;15;423;76.0
2020;16;3134;71.0
2020;17;5993;61.5
2020;18;2060;68.6
2020;19;531;67.5
2020;20;455;67.5
2020;21;1724;71.75
2020;22;1287;62.75
2020;23;548;48.0
2020;24;480;63.5
2020;25;438;79.0
2020;26;625;77.5
2020;27;857;99.0
2020;28;1238;87.75
2020;29;2193;62.6
2020;30;1603;48.0
2020;31;1815;55.6
2020;32;1792;57.8
2020;33;2401;38.4
2020;34;5192;41.7
2020;35;1570;44.333333333333336
2020;36;1395;45.0
2020;37;2545;56.0
2020;38;2412;57.6
2020;39;1203;58.0
2020;40;2096;59.75
2020;41;1063;67.0
2020;43;1701;43.4
2020;44;1757;43.6
2020;45;1463;42.6
2020;46;1546;46.142857142857146
2020;47;406;54.0
2020;48;473;54.5
2020;49;413;48.0
2020;50;252;39.5
2020;51;260;49.5
2020;52;1793;55.42857142857143
2020;53;1148;71.33333333333333
2021;1;7403;38.75
2021;2;10995;41.55
2021;3;8956;39.421052631578945
2021;4;2533;53.5
2021;5;6236;38.285714285714285
2021;6;8560;36.31428571428572
2021;7;8197;36.088235294117645
2021;8;3845;40.8
2021;9;4540;32.23809523809524
2021;10;7739;37.48571428571429
2021;11;8257;35.205128205128204
2021;12;2762;43.266666666666666
2021;13;2520;33.5
2021;14;9348;38.97222222222222
2021;15;9461;46.56410256410256
2021;16;6183;46.55555555555556
2021;17;4767;53.285714285714285
2021;18;7853;50.2962962962963
2021;19;9440;54.32432432432432
2021;20;8071;54.12903225806452
2021;21;5543;55.75
2021;22;4473;50.6875
2021;23;10196;55.583333333333336
2021;24;8494;64.51724137931035
2021;25;7754;64.57142857142857
2021;26;3131;56.81818181818182
2021;27;12159;57.13157894736842
2021;28;9570;63.59375
2021;29;7582;64.8
2021;30;630;58.5
2021;31;6941;51.375
2021;32;9291;53.57142857142857
2021;33;9955;49.64102564102564
2021;34;3747;51.44444444444444
2021;35;7216;43.38095238095238
2021;36;8385;45.24242424242424
2021;37;9585;45.166666666666664
2021;38;4762;47.95238095238095
2021;39;4207;47.142857142857146
2021;40;7869;54.193548387096776
2021;41;9465;53.975
2021;42;7305;50.55555555555556
2021;43;1217;49.5
2021;44;5737;58.625
2021;45;8516;60.89473684210526
2021;46;8391;67.65714285714286
2021;47;4066;64.88235294117646
2021;48;5328;63.529411764705884
2021;49;8695;63.72727272727273
2021;50;8968;66.82352941176471
2021;51;5839;64.07692307692308
2021;53;936;36.5
