year;week_of_year;units_sold;price_unit
2020;1;1855;40.666666666666664
2020;2;434;39.666666666666664
2020;3;477;48.666666666666664
2020;4;1744;46.666666666666664
2020;5;1751;47.166666666666664
2020;6;3403;45.666666666666664
2020;7;1458;55.333333333333336
2020;8;636;53.666666666666664
2020;9;574;52.333333333333336
2020;10;2098;49.0
2020;11;2187;48.0
2020;12;443;34.666666666666664
2020;13;347;38.0
2020;14;2229;51.285714285714285
2020;15;344;59.0
2020;16;585;63.5
2020;17;3790;48.22222222222222
2020;18;2057;55.8
2020;19;1931;54.8
2020;20;926;58.25
2020;21;1609;59.25
2020;22;378;49.5
2020;23;387;49.0
2020;24;410;64.5
2020;25;390;57.5
2020;26;1015;68.5
2020;27;662;79.0
2020;28;730;74.5
2020;29;512;68.5
2020;30;1533;42.8
2020;31;1580;46.8
2020;32;3542;44.5
2020;33;1978;37.6
2020;34;2016;36.0
2020;35;1134;34.666666666666664
2020;36;1054;36.0
2020;37;1998;46.2
2020;38;2988;46.857142857142854
2020;39;935;43.5
2020;40;882;47.5
2020;41;977;49.5
2020;43;1234;38.6
2020;44;1219;36.714285714285715
2020;45;1051;40.0
2020;46;978;42.4
2020;47;195;33.5
2020;48;226;39.0
2020;49;222;34.0
2020;50;252;29.0
2020;51;195;39.0
2020;52;1202;51.0
2020;53;1424;50.2
2021;1;5641;34.833333333333336
2021;2;6520;35.108108108108105
2021;3;6136;33.89473684210526
2021;4;2217;42.875
2021;5;4116;33.36842105263158
2021;6;6737;34.13157894736842
2021;7;4493;31.322580645161292
2021;8;2364;37.5
2021;9;3572;28.52173913043478
2021;10;5451;33.02857142857143
2021;11;4917;33.583333333333336
2021;12;3070;42.55555555555556
2021;13;1581;24.0
2021;14;6216;28.805555555555557
2021;15;6509;34.205128205128204
2021;16;3867;35.629629629629626
2021;17;2911;44.54545454545455
2021;18;5701;38.370370370370374
2021;19;7597;40.425
2021;20;5371;41.67741935483871
2021;21;3229;41.05
2021;22;2780;36.588235294117645
2021;23;6803;39.588235294117645
2021;24;5768;47.0
2021;25;5256;47.0
2021;26;1996;41.09090909090909
2021;27;7668;41.23684210526316
2021;28;6826;49.09375
2021;29;5486;49.17857142857143
2021;30;346;43.75
2021;31;5078;41.12
2021;32;7482;40.114285714285714
2021;33;7987;40.94871794871795
2021;34;4202;48.611111111111114
2021;35;4442;36.22222222222222
2021;36;6152;33.06060606060606
2021;37;7775;34.395348837209305
2021;38;3265;44.42857142857143
2021;39;2792;41.285714285714285
2021;40;5706;44.25806451612903
2021;41;6026;40.1578947368421
2021;42;5060;39.02777777777778
2021;43;817;37.36363636363637
2021;44;4276;45.083333333333336
2021;45;6715;45.432432432432435
2021;46;6547;49.02857142857143
2021;47;3171;48.23529411764706
2021;48;4058;52.05882352941177
2021;49;7190;49.111111111111114
2021;50;7308;54.205882352941174
2021;51;4234;52.476190476190474
2021;52;442;48.8
2021;53;1189;41.2
