year;week_of_year;units_sold;price_unit
2020;1;2307;38.333333333333336
2020;2;684;39.0
2020;3;632;50.0
2020;4;2189;46.833333333333336
2020;5;3626;43.333333333333336
2020;6;3204;53.111111111111114
2020;7;856;56.333333333333336
2020;8;711;54.333333333333336
2020;9;597;53.666666666666664
2020;10;2170;48.666666666666664
2020;11;2252;49.5
2020;12;2189;39.5
2020;13;1064;46.0
2020;14;488;63.0
2020;15;473;62.0
2020;16;725;64.5
2020;17;4110;48.22222222222222
2020;18;2165;57.4
2020;19;2583;54.57142857142857
2020;20;553;53.0
2020;21;1698;58.0
2020;22;585;48.0
2020;23;572;48.5
2020;24;540;62.5
2020;25;1040;68.75
2020;26;788;76.0
2020;27;800;81.5
2020;28;788;74.0
2020;29;585;66.5
2020;30;1636;42.2
2020;31;3480;45.1
2020;32;2240;32.4
2020;33;2280;31.6
2020;34;2288;34.2
2020;35;1793;35.333333333333336
2020;36;1771;36.0
2020;37;4690;47.3
2020;38;1056;54.0
2020;39;975;43.0
2020;40;928;48.5
2020;41;969;48.0
2020;43;1881;32.857142857142854
2020;44;1631;38.8
2020;45;1389;37.6
2020;46;2444;47.25
2020;47;222;34.0
2020;48;288;38.0
2020;49;484;31.5
2020;50;125;33.5
2020;51;183;38.0
2020;52;1470;52.8
2020;53;594;43.0
2021;1;8006;31.9
2021;2;10093;32.94871794871795
2021;3;8537;31.166666666666668
2021;4;2733;44.25
2021;5;6563;33.81818181818182
2021;6;8245;29.916666666666668
2021;7;6367;27.9
2021;8;4662;36.916666666666664
2021;9;4551;23.19047619047619
2021;10;7838;29.4
2021;11;8656;30.846153846153847
2021;12;3064;44.46666666666667
2021;13;2035;19.2
2021;14;8933;26.487179487179485
2021;15;7667;33.72222222222222
2021;16;5860;38.148148148148145
2021;17;3718;46.81818181818182
2021;18;7860;38.13333333333333
2021;19;7912;40.729729729729726
2021;20;6963;40.94117647058823
2021;21;3809;45.705882352941174
2021;22;3430;35.11764705882353
2021;23;7694;39.14705882352941
2021;24;6939;46.064516129032256
2021;25;6249;47.57142857142857
2021;26;2518;40.61538461538461
2021;27;9205;41.638888888888886
2021;28;7983;50.5
2021;29;6472;50.785714285714285
2021;30;693;45.833333333333336
2021;31;6278;42.08695652173913
2021;32;9363;40.73684210526316
2021;33;9158;44.44444444444444
2021;34;5398;44.94444444444444
2021;35;5222;36.5
2021;36;8361;32.638888888888886
2021;37;8867;33.925
2021;38;5605;42.916666666666664
2021;39;3020;44.63636363636363
2021;40;6663;44.12903225806452
2021;41;6917;40.473684210526315
2021;42;6193;39.35897435897436
2021;43;1127;35.375
2021;44;5078;41.73076923076923
2021;45;6713;41.371428571428574
2021;46;6491;40.542857142857144
2021;47;3381;44.529411764705884
2021;48;5077;51.5
2021;49;7678;49.09090909090909
2021;50;8079;53.794117647058826
2021;51;4489;52.714285714285715
2021;52;557;49.0
2021;53;1508;41.8
